    ar	ai
1.094030	-0.010467
1.094210	-0.012127
1.094170	0.000394
1.094140	0.011166
1.094000	-0.008473
1.093830	-0.004474
1.093700	-0.009428
1.093890	-0.008089
1.093980	-0.000424
1.093660	-0.001603
1.093480	-0.007068
1.093380	-0.008685
1.093350	0.002907
1.093860	-0.008118
1.093960	-0.004275
1.093830	-0.001697
1.093740	-0.004089
1.093830	-0.006107
1.093820	-0.004910
1.094020	-0.008313
1.094080	-0.009967
1.094060	-0.001723
1.094110	-0.008720
1.094120	-0.000135
1.094140	-0.004394
1.094210	-0.002642
1.094500	0.004585
1.094560	-0.002846
1.094530	-0.002937
1.094690	-0.012033
1.094810	0.004264
1.094900	-0.012057
1.094940	-0.006145
1.095250	-0.003119
1.095310	0.000858
1.095510	-0.008968
1.095680	-0.008591
1.095850	-0.006569
1.096410	0.003741
1.096390	-0.000917
1.096490	-0.015465
1.096350	-0.005918
1.096490	0.006689
1.096770	-0.013329
1.096700	0.003935
1.096540	-0.002803
1.096750	-0.011095
1.096530	0.008295
1.096740	0.000137
1.096670	-0.010297
1.096320	0.002815
1.096240	-0.004984
1.096070	-0.005293
1.094630	-0.008116
1.094450	-0.002470
1.094200	0.002988
1.094370	-0.015815
1.094440	-0.004080
1.094450	-0.003456
1.094320	-0.001191
1.094230	0.005267
1.094150	-0.008538
1.093980	0.001535
1.094090	0.002097
1.093830	-0.007425
1.094150	-0.004312
1.093330	0.000081
1.093370	-0.008773
1.093390	0.004097
1.093520	-0.003750
1.093850	-0.000224
1.093760	-0.004408
1.093690	-0.003809
1.093730	0.007218
1.093790	-0.001429
1.093710	-0.011423
1.093560	-0.011353
1.093880	-0.003035
1.093600	-0.003364
1.093270	-0.007306
1.092940	-0.003755
1.092810	-0.002353
1.092570	0.002457
1.092550	0.002236
1.092720	-0.000640
1.093180	0.001938
1.093250	0.005874
1.093560	0.001792
1.093650	-0.002127
1.093650	-0.000763
1.093680	0.001700
1.093760	-0.000994
1.093820	-0.001428
1.093780	-0.003454
1.093780	-0.002413
1.093520	-0.005407
1.093710	-0.002064
1.093780	-0.008019
1.093680	-0.003189
1.093600	-0.001549
1.093470	0.003704
1.092680	-0.007436
